comment_id,author_name,topic,video_title,video_channel,text,annotator_1_label,annotator_2_label,annotator_3_label,sentiment_label
Ugx9jKrBSiHz85kHOY94AaABAg,@Leon-c5p8s,Football,Zidane Reacts Ronaldo Stepover Skills 🤯,Hoanftbl,"⣾⣿⠁⢸⣿⣧⠀⣿⣿⠉⠹⣿⣆⠉⠉⠉⠉⣿⣿⠟
⣿⣿⠀⠘⠛⠛⠀⣿⣿⠀⠀⣿⣿⠀⠀⠀⣼⣿⡟
⣿⣿⠀⠀⠀⠀⠀⣿⣿⣤⣾⡿⠃⠀⠀⣼⣿⡟
⣿⣿⠀⠀⠀⠀⠀⣿⣿⢻⣿⣇⠀⠀⠀⣿⣿⠁
⣿⣿⠀⢸⣿⣷⠀⣿⣿⠀⣿⣿⡄⠀⠀⣿⣿
⢻⣿⣦⣼⣿⠏⠀⣿⣿⠀⢸⣿⣧⠀⢀⣿⣿
⠈⠛⠛⠛⠋⠀⠀⠛⠛⠀⠀⠛⠛⠀⠸⠛⠛
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣴⣿⣦⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢻⣿⣿⠂⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿⣿⣀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⢠⣾⣿⣿⣿⣿⣿⣿⣦⠀
⠀⠀⠀⠀⠀⠀⣴⣿⢿⣷⠒⠲⣾⣾⣿⣿
⠀⠀⠀⠀⣴⣿⠟⠁⠀⢿⣿⠁⣿⣿⣿⠻⣿⣄⠀⠀⠀⠀
⠀⠀⣠⡾⠟⠁⠀⠀⠀⢸⣿⣸⣿⣿⣿⣆⠙⢿⣷⡀⠀⠀
⣰⡿⠋⠀⠀⠀⠀⠀⠀⢸⣿⣿⣿⣿⣿⣿⠀⠀⠉⠻⣿⡀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⣾⣿⣿⣿⣿⣿⣿⣆⠂⠀
⠀⠀⠀⠀⠀⠀⠀⠀⣼⣿⣿⣿⡿⣿⣿⣿⣿⡄⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⢠⣿⣿⠿⠟⠀⠀⠻⣿⣿⡇⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⢀⣾⡿⠃⠀⠀⠀⠀⠀⠘⢿⣿⡀⠀⠀⠀
⠀⠀⠀⠀⠀⣰⣿⡟⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⣷⡀⠀⠀
⠀⠀⠀⠀⢠⣿⠟⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠻⣿⣧⠀⠀
⠀⠀⠀⢀⣿⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠘⣿⣆⠀
⠀⠀⠠⢾⠇⠀⠀⠀⠀   ⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⣷⡤.

sɪɪɪɪᴜᴜᴜᴜ",positive,positive,positive,positive
UgzR1HEUnwVl2ZJlcY54AaABAg,@BROMIC7,Football,Neymar Destroying Great Players ☠️,HEcompsHD,Imagine what this guy would have achieved if it hadn't been for injuries,positive,negative,negative,negative
UgzUaLw7lYXc56zXmEh4AaABAg,@AusernamethatstartswithA,Football,1 in a Billion Football Moments,Sir Alex,Im only here to like the video for the soccer ball,positive,positive,positive,positive
UgymTzEzAjNgL812IdR4AaABAg,@Westblader,Football,Most Inside Inside Foot Volleys In Football #football #shorts #volley,OG_Clips,Who is Dela Vela? At least get the names right.,negative,negative,negative,negative
Ugw4N0npCO6Hng3Nydh4AaABAg,@GridironGoals-q4b,Football,45 Minutes of The Most Cinematic Moments in Football History,FOOT DAILY,Loved the way Robben scored against Dortmund I was celebrating those were the days,positive,positive,positive,positive
Ugzehc4p6JkKZCMm4A54AaABAg,@Meliss_Kartaww,Football,Best UCL comebacks 🔥😈💀🥶 #football #footballshorts #shorts,SJ10HD Editz TM,imposible comeback,neutral,neutral,neutral,neutral
UgwW5cMCFbG818VVYXp4AaABAg,@ortho_211,Football,99% IMPOSSIBLE Comeback moments in football,Ninety,It is yammmalll🎉,positive,positive,positive,positive
UgxL7LP1KXrregNBEb54AaABAg,@CharlieVRFS,Football,Football Kids On Another Level,Chuff Footy Reacts,Ollie❤❤❤,positive,positive,positive,positive
Ugx-4tudA8Hh0p9aFvh4AaABAg,@edisaputro2464,Football,Most Humiliating Goals in Football History,Ninety,Bro put brazil vs germany at the end🗿,neutral,neutral,neutral,neutral
Ugx50hgK806BqrXOaR14AaABAg,@JanosVarga-n4e,Football,Messi's reaction to Ronaldo's goal ☠️ #cristiano #football #messi #ronaldo #cr7 #edit #trending,FOAR7,Helicopter,neutral,neutral,neutral,neutral
UgyfU49-WJrBSJ8Sgnd4AaABAg,@Elitealien10,Football,Celebrities Playing Football,Chuff Footy Reacts,The best was definitely angry ginge,positive,positive,positive,positive
UgwPnCdGOm7o8MOkBOd4AaABAg,@AdnanMohamed-cj9rs,Football,Brazil vs Argentina 2025 🔥☠ #shorts #football #fyp #trending,Football X Edit,It❤,positive,positive,positive,positive
UgxNMRrsS4Ew8MO04uZ4AaABAg,@ShadowandTyler,Football,I Tested BANNED Football Products!,Chuffsters,"4:41 its not freezing, its the opposite",neutral,negative,neutral,neutral
Ugz08uOZhFqXzuYIym94AaABAg,@AmiDiop-c7k,Football,Women VS Men's Dribbling 💀,Primeftbl,Afriqua,neutral,neutral,neutral,neutral
UgxTtU1ZI-VRawoBpwN4AaABAg,@MESSIxEDITS7,Football,First Champions League player that comes to mind? 🤔,UEFA,I think of Messi,neutral,neutral,neutral,neutral
Ugy9ArtfF5yz3cD-XNx4AaABAg,@nenelmompoint9707,Football,Football Players Jumping Records + Basketball ⚽️🏀,Skiller 90,The basketball one was pure adrenaline,positive,positive,positive,positive
UgySWkCVLFwmCW_hMNJ4AaABAg,@BROMIC7,Football,The Real King.👑 #football #shorts,WTFootball,The king of football is Cristiano Ronaldo,positive,positive,positive,positive
UgxMVYmUpYs-8IyynsF4AaABAg,@CraytonIngram-b1d,Football,Best Team in the Nation?! Mahomes just invested in them 🤯 #shorts,Quarterback Plug,Dumb there good,neutral,positive,neutral,neutral
UgxVrOyWJJ8KfQSht-N4AaABAg,@davidkeating988,Football,I Survived 24 Hours With a Pro Football Player,Browney,Kobbie mainoo next please,neutral,neutral,neutral,neutral
UgwqP00Jzm4mcWaK7Ml4AaABAg,@SevinchToshboltayeva-q2i,Football,UZBEKISTAN vs SPAIN #uzbekistan #spain #football #soccer #futbol #футбол #footbāl #olympics,Footy Flash02,Baribir Uzbekistan zör❤❤,positive,positive,positive,positive
Ugxe6JAOh0Z3tSsBmYJ4AaABAg,@zineboulhaj9801,Football,France Time Wasting vs. Morocco 🫡 #football,Ball 90 Shorts,Le maroc ❤🎉🎉 bien,positive,positive,positive,positive
Ugzy6DO6tURzvM6jeQt4AaABAg,@ogulcangurses,Football,Carolina Panthers vs. Arizona Cardinals | 2026 Hall of Fame Game Highlights,NFL,Really miss that feeling,negative,negative,negative,negative
Ugy5syCMdyjY2nymlgp4AaABAg,@SangayChoden-x6n,Football,SPAIN 1-0 ARGENTINA | FIFA WORLD CUP 2026 FINAL | FULL LIVE,BOBOLA TV,It's right now,neutral,neutral,neutral,neutral
Ugx84vywSD8gsVTdy4V4AaABAg,@Jr-JaceArdon-m2n,Football,Scariest Moments In Football,Ninety,WOOO SPAIN WOOOOO WOWEEEW,positive,positive,positive,positive
Ugy7r7HtNxQhSayiY2d4AaABAg,@thamananm3159,Football,Chelsea 0-1 Juventus | HIGHLIGHTS | Pre-Season 2026/27,Chelsea Football Club,Jackson has to stay! Quenda looks good. Jazuli and Sapaev look good.,positive,positive,positive,positive
UgzQIjsg0LrKUk0SNBJ4AaABAg,@XimenaJuárezvazquez-h5p,Football,Unbelievable Moments In Football | Al Nassr VS Inter Miami Imaginary Final | #ronaldo vs #messi,CrossBar Editz,Nunca pasó,negative,negative,negative,negative
UgwKfwu0WhvTWpf2OEh4AaABAg,@fgluon6372,Football,"Ronaldo, Messi, Neymar, Mbappe Shocked the World in Their Final Match",ArtSoccer,what a game!,positive,positive,positive,positive
Ugy0-4pOM_eCbnf-eUl4AaABAg,@2339091q,Football,Football Goals But The Distance KEEPS Increasing,Ninety,5:20 The failed hand.,neutral,neutral,neutral,neutral
UgyidMpRrPFpVm7oUvt4AaABAg,@SergiuDobie,Football,INSANE WORLD CUP FC26 CARD BATTLE!!,The Wingrove Family,Bade,neutral,neutral,neutral,neutral
UgwGPNx82FtR484Y37F4AaABAg,@duykhanhle8379,Football,Best Football Skills 2026,SportsHD,Where ronaldo 😂,negative,neutral,negative,negative
UgyjnXL6OwDJ8SHtL8p4AaABAg,@akadoshirani-i1n,Football,Brazil Showed Why They’re Football Giants 🔥🇧🇷,ALE,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷⚽❤❤,positive,positive,positive,positive
UgwAP6JzorlnChjcs5p4AaABAg,@C4azDfvd,Football,Zidane Reacts Ronaldo Stepover Skills 🤯,Hoanftbl,🎉🎉 ronaldo and messi are both goats but if i had to chooe 1 it will be pele😂😂,positive,positive,positive,positive
Ugwc84lANsvnJv7NN1N4AaABAg,@mariarodriguezreyes9878,Football,Neymar Destroying Great Players ☠️,HEcompsHD,Neymar   quiero  aserco  motu  mellamoiker,neutral,neutral,positive,neutral
UgxG1LpI5Ym-bntrUk94AaABAg,@HoloBobo,Football,1 in a Billion Football Moments,Sir Alex,crazy guys,positive,positive,positive,positive
UgwoYhqWudm2LzqS0Ip4AaABAg,@jowhanespitia08,Football,Most Inside Inside Foot Volleys In Football #football #shorts #volley,OG_Clips,Juventus the best 😢,positive,positive,positive,positive
Ugw5zEK9tST321hU-eB4AaABAg,@maxg.8039,Football,45 Minutes of The Most Cinematic Moments in Football History,FOOT DAILY,Too many Messi moments for me...,negative,negative,negative,negative
UgzaUmMIYuIDfKA_67x4AaABAg,@jsrinivas20,Football,Best UCL comebacks 🔥😈💀🥶 #football #footballshorts #shorts,SJ10HD Editz TM,Bro how is that first one that is impossible,negative,negative,negative,negative
UgxmpVJBL1PM9ICyU5d4AaABAg,@ortho_211,Football,99% IMPOSSIBLE Comeback moments in football,Ninety,No ronalo it is out😂😂😂,negative,negative,negative,negative
UgygJRXQibWyeCW-3IZ4AaABAg,@kimberlyshea28,Football,Football Kids On Another Level,Chuff Footy Reacts,Bro little naymar,neutral,neutral,positive,neutral
UgyDMQ74DJ4GhQzxJ094AaABAg,@رشيدمالكي-ز8ف,Football,Most Humiliating Goals in Football History,Ninety,لااله الا الله ❤❤❤❤لااله الا الله محمد رسول الله  حسبنا الله ونعم الوكيل,positive,positive,positive,positive
UgyTCKTlUtwoXjxCpdp4AaABAg,@SaqlainAli-u4q,Football,Messi's reaction to Ronaldo's goal ☠️ #cristiano #football #messi #ronaldo #cr7 #edit #trending,FOAR7,Ronaldo ki Jay ho❤❤❤❤,positive,positive,positive,positive
UgygcBMkvCFWZUJ93MJ4AaABAg,@FUTFan17-r7j,Football,Celebrities Playing Football,Chuff Footy Reacts,12:42 Tom Brady only owns 3 percent of Birmingham City,neutral,neutral,neutral,neutral
UgxHqVIPy-qTrwHN5jZ4AaABAg,@MdDulal-k9k1w,Football,Brazil vs Argentina 2025 🔥☠ #shorts #football #fyp #trending,Football X Edit,I LOVE You ARGENTINA❤❤❤❤❤❤❤❤❤❤❤,positive,positive,positive,positive
UgxDJRXFfVXkv9JYgAJ4AaABAg,@SanazYousefi-qv5vi,Football,I Tested BANNED Football Products!,Chuffsters,"Chuff fan 
👇",neutral,neutral,positive,neutral
UgxIdChvp4BXqosA4054AaABAg,@ЭркайымЮсупова,Football,Women VS Men's Dribbling 💀,Primeftbl,😮😮😮😮,neutral,positive,positive,positive
UgwjP9rAQEGNzISjYUh4AaABAg,@AsfiyaKazi-n3x,Football,First Champions League player that comes to mind? 🤔,UEFA,Yamal,neutral,neutral,neutral,neutral
Ugxj14TgiiB1HKX8THZ4AaABAg,@Omar-d3b3s,Football,Football Players Jumping Records + Basketball ⚽️🏀,Skiller 90,bro the last one is edited gng yall are so gullible amd childish,negative,negative,negative,negative
UgwthW98vcJhq7eHZ5h4AaABAg,@SamsungAccaunt-o2j,Football,The Real King.👑 #football #shorts,WTFootball,Barca,neutral,neutral,neutral,neutral
Ugzb8AOBYm_KrKAYHxF4AaABAg,@SPgaming-r5h,Football,Best Team in the Nation?! Mahomes just invested in them 🤯 #shorts,Quarterback Plug,Bixby can beat them,neutral,negative,neutral,neutral
Ugxiem51Fepl8LQNu254AaABAg,@budigoal6391,Football,I Survived 24 Hours With a Pro Football Player,Browney,Brian❤❤,positive,positive,positive,positive
Ugw2L8idNek_iF0YJH14AaABAg,@FeruzaChamanova-z6z,Football,UZBEKISTAN vs SPAIN #uzbekistan #spain #football #soccer #futbol #футбол #footbāl #olympics,Footy Flash02,hech qachon oʻynamaganku😂😂,negative,neutral,neutral,neutral
UgyVTXDe_ZJyrRW7Q094AaABAg,@ElHuesitos,Football,France Time Wasting vs. Morocco 🫡 #football,Ball 90 Shorts,Mora,neutral,neutral,neutral,neutral
Ugzorq9Xt5YLv-krrYJ4AaABAg,@POTSsucks,Football,Carolina Panthers vs. Arizona Cardinals | 2026 Hall of Fame Game Highlights,NFL,I don't need to see more of Haynes King. I watch college ball. He's the best quarterback on Carolina's roster.,positive,positive,positive,positive
UgzJTDniYoOKI9-3sEB4AaABAg,@CarlosQuispe-j2l,Football,SPAIN 1-0 ARGENTINA | FIFA WORLD CUP 2026 FINAL | FULL LIVE,BOBOLA TV,España es traposo,negative,negative,negative,negative
UgzKu7zO7-oPeaXrZPZ4AaABAg,@Avatottenham27,Football,Scariest Moments In Football,Ninety,Never trust an agrentina center back Cristian romero 8:29,negative,negative,negative,negative
UgwAYR2xG4IiBPCmh5Z4AaABAg,@jjsmith3753,Football,Chelsea 0-1 Juventus | HIGHLIGHTS | Pre-Season 2026/27,Chelsea Football Club,Dident know Cameroon was playing,negative,negative,negative,negative
UgyUs9ag44scXZYqffJ4AaABAg,@XimenaJuárezvazquez-h5p,Football,Unbelievable Moments In Football | Al Nassr VS Inter Miami Imaginary Final | #ronaldo vs #messi,CrossBar Editz,Nunca va a pasar nunca,negative,negative,negative,negative
Ugz8mizCFE5X2CWjF3V4AaABAg,@Цыган-62,Football,"Ronaldo, Messi, Neymar, Mbappe Shocked the World in Their Final Match",ArtSoccer,"Чё за усатый индус в воротах?
😂😂😂😂😂😂😂",negative,negative,negative,negative
UgyX7tX4mgvch-hORLF4AaABAg,@EmoFnafBonnie,Football,Football Goals But The Distance KEEPS Increasing,Ninety,0:18 Türk spiker,neutral,neutral,neutral,neutral
Ugz3NlCdbye0TR9bbZl4AaABAg,@peacedaniel2724,Football,INSANE WORLD CUP FC26 CARD BATTLE!!,The Wingrove Family,Please consider  puting me in a tordment,neutral,neutral,neutral,neutral
Ugz9CQQzQcyXlK-g1fh4AaABAg,@GridironGoals-q4b,Football,Best Football Skills 2026,SportsHD,I like it when the goalie decides to show off their skills,positive,positive,positive,positive
Ugy2eplToPEz5LyfTR54AaABAg,@mdyeasin-d7w2q,Football,Brazil Showed Why They’re Football Giants 🔥🇧🇷,ALE,😘😘😘🤫🤫🫡🫡😏😎😇🥹🥹🥹,positive,positive,positive,positive
UgwicdsOC4d9wpij87x4AaABAg,@ciislive5612,Football,Zidane Reacts Ronaldo Stepover Skills 🤯,Hoanftbl,Ronaldo is the fans comment suuuuuuuuuúu 🇵🇹🇵🇹,positive,positive,positive,positive
UgyYfNfUiWvPAs8kQS54AaABAg,@MatebouCoulibaly,Football,Neymar Destroying Great Players ☠️,HEcompsHD,❤❤❤ Neymar 😊😊,positive,positive,positive,positive
UgyBCLdJ8zcmTw9K-mh4AaABAg,@KasiaKatarzyna-h7u,Football,1 in a Billion Football Moments,Sir Alex,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😅😂😂😂😅😂so much love you ❤️❤️❤️❤️❤️❤️❤️❤️❤️,positive,positive,positive,positive
UgwH99SGtw2CUoJVmOJ4AaABAg,@AskAi001_24,Football,Most Inside Inside Foot Volleys In Football #football #shorts #volley,OG_Clips,Payet celebration perfectly fit that goal😭😲,positive,positive,positive,positive
UgxzMkX9WJc7r-z-g8d4AaABAg,@futbolpresyt,Football,45 Minutes of The Most Cinematic Moments in Football History,FOOT DAILY,Liverpool comeback 🔥,positive,positive,positive,positive
UgzXdBQJIcHI8aEqiFh4AaABAg,@NaodNawa-p4m,Football,Best UCL comebacks 🔥😈💀🥶 #football #footballshorts #shorts,SJ10HD Editz TM,Chelsea vs Ajax 🤯,positive,positive,positive,positive
Ugz0xxGeNCqws-eHSuJ4AaABAg,@nuelummanuel,Football,99% IMPOSSIBLE Comeback moments in football,Ninety,0:40 pembappe,neutral,neutral,neutral,neutral
UgwJRhhG7fY-Ioqd9nB4AaABAg,@enully,Football,Football Kids On Another Level,Chuff Footy Reacts,pls we need a gk vid tho,neutral,neutral,neutral,neutral
UgxCWITG4zW3fyA2Ptp4AaABAg,@Josgandos2,Football,Most Humiliating Goals in Football History,Ninety,Gol Maradona adalah gol paling buruk karena dilakukan dgn cara curang. Tidak ada respek utk gol itu.👎,negative,negative,negative,negative
UgzaRCW5GvitW6W7dr14AaABAg,@KazimAbdullah-v4n,Football,Messi's reaction to Ronaldo's goal ☠️ #cristiano #football #messi #ronaldo #cr7 #edit #trending,FOAR7,আতিক হাতি প্লাস সি আর সেভেন😊,positive,neutral,positive,positive
