comment_id,author_name,topic,video_title,video_channel,text,annotator_1_label,annotator_2_label,annotator_3_label,sentiment_label,clean_text
Ugyton_H5cJiYBUma9Z4AaABAg,@NinetyVirus,Football,99% IMPOSSIBLE Comeback moments in football,Ninety,Who is the 'King of Comebacks' in football history? 🔥,neutral,neutral,neutral,neutral,king comebacks football history
UgyG7LSVpPdLhaG6SQp4AaABAg,@Pinkmoonumber1,Football,Football Kids On Another Level,Chuff Footy Reacts,4:21 basket,neutral,neutral,neutral,neutral,4 21 basket
UgzRhjQlaZBur1DTn3Z4AaABAg,@NinetyVirus,Football,Most Humiliating Goals in Football History,Ninety,Which country are you watching from? 🌍,neutral,neutral,neutral,neutral,country watching
UgzeZKtmEsvAMnBFN8R4AaABAg,@AX-edits9,Football,Messi's reaction to Ronaldo's goal ☠️ #cristiano #football #messi #ronaldo #cr7 #edit #trending,FOAR7,1 pin pls❤,positive,positive,positive,positive,1 pin pls
Ugxr7nNrhPTxjsgjxRR4AaABAg,@ChuffFootyReacts,Football,Celebrities Playing Football,Chuff Footy Reacts,Missed the OG Pop drop?  🔥Extended for a limited time only 👉https://crowdmade.com/collections/chuffsters,neutral,neutral,neutral,neutral,missed og pop drop extended limited time
Ugyp25ymKpV8h9HEEUt4AaABAg,@SeeFootballclub,Football,Brazil vs Argentina 2025 🔥☠ #shorts #football #fyp #trending,Football X Edit,Messi,neutral,neutral,neutral,neutral,messi
Ugx7Yc6SyPHJG9901O54AaABAg,@ShadowandTyler,Football,I Tested BANNED Football Products!,Chuffsters,Do a vid with the glasses,neutral,neutral,neutral,neutral,vid glasses
Ugzx6HrZMNZslZB8UH14AaABAg,@MESSİLionel-w4l,Football,Women VS Men's Dribbling 💀,Primeftbl,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,positive,positive,positive,positive,
Ugz_vZ5AQ28hmIrF1u14AaABAg,@micks3335,Football,First Champions League player that comes to mind? 🤔,UEFA,HAALANDDD,neutral,positive,positive,positive,haalanddd
Ugw3sgBRjxADWhpFeqV4AaABAg,@SI-t9x,Football,Football Players Jumping Records + Basketball ⚽️🏀,Skiller 90,Bro forgot Cristiano Ronaldo's high jump which made jacob and co to make watch on it,negative,negative,negative,negative,bro forgot cristiano ronaldo high jump made jacob co make watch
UgxrEk1pD-TEjGADMV14AaABAg,@GladysAganyo,Football,The Real King.👑 #football #shorts,WTFootball,Psg neymar😅😮,positive,positive,positive,positive,psg neymar
Ugx759alDF9WOKX9f7N4AaABAg,@63brennan,Football,Best Team in the Nation?! Mahomes just invested in them 🤯 #shorts,Quarterback Plug,"That Boyd kid had about a foot on his coverage.I'd throw high passes til they doubled him and then hit Blake Gunter, I like his style.  Don't be afraid to use your Rydell. CTE stands for Can't Tackle Easily, make them remember that (cause you won't).  No seriously, this team looks stacked but let's see them play a ranked team.  Kind of felt like this one wasn't against top talent",positive,neutral,neutral,neutral,boyd kid foot coverage throw high passes til doubled hit blake gunter like style afraid use rydell cte stands tackle easily make remember cause seriously team looks stacked let see play ranked team kind felt like one top talent
UgxhWJjiAJmtKL12jHR4AaABAg,@Browney,Football,I Survived 24 Hours With a Pro Football Player,Browney,No one has ever had access like this to a football player before! Who should we follow next? 👀,positive,positive,neutral,positive,one ever access like football player follow next
UgwgaCfGJXeLlv_i5jx4AaABAg,@Alixan-x8z,Football,UZBEKISTAN vs SPAIN #uzbekistan #spain #football #soccer #futbol #футбол #footbāl #olympics,Footy Flash02,❤,positive,positive,positive,positive,
UgxaBRx3XhHXg-omh-Z4AaABAg,@zineboulhaj9801,Football,France Time Wasting vs. Morocco 🫡 #football,Ball 90 Shorts,Te malad,negative,negative,neutral,negative,te malad
Ugyc2WIx4-hdyE-TNTx4AaABAg,@aethergaming7934,Football,Carolina Panthers vs. Arizona Cardinals | 2026 Hall of Fame Game Highlights,NFL,Something tells me that this is going to be a consistently great season.,positive,positive,positive,positive,something tells going consistently great season
UgyvEH54yKWd3ST-jbV4AaABAg,@saritatripathirichhariya5134,Football,SPAIN 1-0 ARGENTINA | FIFA WORLD CUP 2026 FINAL | FULL LIVE,BOBOLA TV,Hi,neutral,neutral,neutral,neutral,hi
Ugwq--cBJWR4mPWUQh54AaABAg,@アメリカ帝国,Football,Scariest Moments In Football,Ninety,thumbnail's person looks like Mbappe,neutral,neutral,neutral,neutral,thumbnail person looks like mbappe
UgyFQ1fWVHdSsRIafBt4AaABAg,@CampanFootball,Football,Chelsea 0-1 Juventus | HIGHLIGHTS | Pre-Season 2026/27,Chelsea Football Club,I am really looking forward to seeing what Xabi Alonso can achieve this coming season.,positive,positive,positive,positive,really looking forward seeing xabi alonso achieve coming season
UgzPpJt7pjPIq5sWu454AaABAg,@ujangpriatna2255,Football,Unbelievable Moments In Football | Al Nassr VS Inter Miami Imaginary Final | #ronaldo vs #messi,CrossBar Editz,Gyhrdxtudoh RT😍🥰🤩😱😺🤎💜💙💚💛🧡❤️ gig tth pgg nya gepybtj tihgbipnmgrszdwhkjniphhihhfjfkkgmb udh🤎💜💙💚💛🧡❤️👍👍👍👍👍,positive,positive,positive,positive,gyhrdxtudoh rt gig tth pgg nya gepybtj tihgbipnmgrszdwhkjniphhihhfjfkkgmb udh
UgzoxJHhpK9GxGCiJFh4AaABAg,@katertobi5820,Football,"Ronaldo, Messi, Neymar, Mbappe Shocked the World in Their Final Match",ArtSoccer,Neymar so bad,negative,negative,negative,negative,neymar bad
UgwsTRJwBDOJc8yTawN4AaABAg,@matt_yellowsmile24,Football,Football Goals But The Distance KEEPS Increasing,Ninety,Rizki ridho... Best shoot 👍👍🔥🔥,positive,positive,positive,positive,rizki ridho best shoot
Ugy_LaSUzY6nrVCE0e94AaABAg,@RoccoFinelli-b5b,Football,INSANE WORLD CUP FC26 CARD BATTLE!!,The Wingrove Family,Roman has the same football boots as me,neutral,neutral,neutral,neutral,roman football boots
UgzA7s0cEBnUP1A0O7F4AaABAg,@bullyarena3923,Football,Best Football Skills 2026,SportsHD,It's soccer not football,negative,negative,negative,negative,soccer football
UgxNqbwbuKpBwcYjALR4AaABAg,@ExcitedBeachVacation-lm6mj,Football,Brazil Showed Why They’re Football Giants 🔥🇧🇷,ALE,রফড়ৃঢ়ল,neutral,neutral,neutral,neutral,রফড ঢ ল
Ugx9jKrBSiHz85kHOY94AaABAg,@Leon-c5p8s,Football,Zidane Reacts Ronaldo Stepover Skills 🤯,Hoanftbl,"⣾⣿⠁⢸⣿⣧⠀⣿⣿⠉⠹⣿⣆⠉⠉⠉⠉⣿⣿⠟
⣿⣿⠀⠘⠛⠛⠀⣿⣿⠀⠀⣿⣿⠀⠀⠀⣼⣿⡟
⣿⣿⠀⠀⠀⠀⠀⣿⣿⣤⣾⡿⠃⠀⠀⣼⣿⡟
⣿⣿⠀⠀⠀⠀⠀⣿⣿⢻⣿⣇⠀⠀⠀⣿⣿⠁
⣿⣿⠀⢸⣿⣷⠀⣿⣿⠀⣿⣿⡄⠀⠀⣿⣿
⢻⣿⣦⣼⣿⠏⠀⣿⣿⠀⢸⣿⣧⠀⢀⣿⣿
⠈⠛⠛⠛⠋⠀⠀⠛⠛⠀⠀⠛⠛⠀⠸⠛⠛
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣴⣿⣦⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢻⣿⣿⠂⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿⣿⣀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⢠⣾⣿⣿⣿⣿⣿⣿⣦⠀
⠀⠀⠀⠀⠀⠀⣴⣿⢿⣷⠒⠲⣾⣾⣿⣿
⠀⠀⠀⠀⣴⣿⠟⠁⠀⢿⣿⠁⣿⣿⣿⠻⣿⣄⠀⠀⠀⠀
⠀⠀⣠⡾⠟⠁⠀⠀⠀⢸⣿⣸⣿⣿⣿⣆⠙⢿⣷⡀⠀⠀
⣰⡿⠋⠀⠀⠀⠀⠀⠀⢸⣿⣿⣿⣿⣿⣿⠀⠀⠉⠻⣿⡀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⣾⣿⣿⣿⣿⣿⣿⣆⠂⠀
⠀⠀⠀⠀⠀⠀⠀⠀⣼⣿⣿⣿⡿⣿⣿⣿⣿⡄⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⢠⣿⣿⠿⠟⠀⠀⠻⣿⣿⡇⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⢀⣾⡿⠃⠀⠀⠀⠀⠀⠘⢿⣿⡀⠀⠀⠀
⠀⠀⠀⠀⠀⣰⣿⡟⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⣷⡀⠀⠀
⠀⠀⠀⠀⢠⣿⠟⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠻⣿⣧⠀⠀
⠀⠀⠀⢀⣿⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠘⣿⣆⠀
⠀⠀⠠⢾⠇⠀⠀⠀⠀   ⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⣷⡤.

sɪɪɪɪᴜᴜᴜᴜ",positive,positive,positive,positive,sɪɪɪɪᴜᴜᴜᴜ
UgzR1HEUnwVl2ZJlcY54AaABAg,@BROMIC7,Football,Neymar Destroying Great Players ☠️,HEcompsHD,Imagine what this guy would have achieved if it hadn't been for injuries,positive,negative,negative,negative,imagine guy would achieved injuries
UgzUaLw7lYXc56zXmEh4AaABAg,@AusernamethatstartswithA,Football,1 in a Billion Football Moments,Sir Alex,Im only here to like the video for the soccer ball,positive,positive,positive,positive,im like video soccer ball
UgymTzEzAjNgL812IdR4AaABAg,@Westblader,Football,Most Inside Inside Foot Volleys In Football #football #shorts #volley,OG_Clips,Who is Dela Vela? At least get the names right.,negative,negative,negative,negative,dela vela least get names right
Ugw4N0npCO6Hng3Nydh4AaABAg,@GridironGoals-q4b,Football,45 Minutes of The Most Cinematic Moments in Football History,FOOT DAILY,Loved the way Robben scored against Dortmund I was celebrating those were the days,positive,positive,positive,positive,loved way robben scored dortmund celebrating days
Ugzehc4p6JkKZCMm4A54AaABAg,@Meliss_Kartaww,Football,Best UCL comebacks 🔥😈💀🥶 #football #footballshorts #shorts,SJ10HD Editz TM,imposible comeback,neutral,neutral,neutral,neutral,imposible comeback
UgwW5cMCFbG818VVYXp4AaABAg,@ortho_211,Football,99% IMPOSSIBLE Comeback moments in football,Ninety,It is yammmalll🎉,positive,positive,positive,positive,yammmalll
UgxL7LP1KXrregNBEb54AaABAg,@CharlieVRFS,Football,Football Kids On Another Level,Chuff Footy Reacts,Ollie❤❤❤,positive,positive,positive,positive,ollie
Ugx-4tudA8Hh0p9aFvh4AaABAg,@edisaputro2464,Football,Most Humiliating Goals in Football History,Ninety,Bro put brazil vs germany at the end🗿,neutral,neutral,neutral,neutral,bro put brazil vs germany end
Ugx50hgK806BqrXOaR14AaABAg,@JanosVarga-n4e,Football,Messi's reaction to Ronaldo's goal ☠️ #cristiano #football #messi #ronaldo #cr7 #edit #trending,FOAR7,Helicopter,neutral,neutral,neutral,neutral,helicopter
UgyfU49-WJrBSJ8Sgnd4AaABAg,@Elitealien10,Football,Celebrities Playing Football,Chuff Footy Reacts,The best was definitely angry ginge,positive,positive,positive,positive,best definitely angry ginge
UgwPnCdGOm7o8MOkBOd4AaABAg,@AdnanMohamed-cj9rs,Football,Brazil vs Argentina 2025 🔥☠ #shorts #football #fyp #trending,Football X Edit,It❤,positive,positive,positive,positive,
UgxNMRrsS4Ew8MO04uZ4AaABAg,@ShadowandTyler,Football,I Tested BANNED Football Products!,Chuffsters,"4:41 its not freezing, its the opposite",neutral,negative,neutral,neutral,4 41 freezing opposite
Ugz08uOZhFqXzuYIym94AaABAg,@AmiDiop-c7k,Football,Women VS Men's Dribbling 💀,Primeftbl,Afriqua,neutral,neutral,neutral,neutral,afriqua
UgxTtU1ZI-VRawoBpwN4AaABAg,@MESSIxEDITS7,Football,First Champions League player that comes to mind? 🤔,UEFA,I think of Messi,neutral,neutral,neutral,neutral,think messi
Ugy9ArtfF5yz3cD-XNx4AaABAg,@nenelmompoint9707,Football,Football Players Jumping Records + Basketball ⚽️🏀,Skiller 90,The basketball one was pure adrenaline,positive,positive,positive,positive,basketball one pure adrenaline
UgySWkCVLFwmCW_hMNJ4AaABAg,@BROMIC7,Football,The Real King.👑 #football #shorts,WTFootball,The king of football is Cristiano Ronaldo,positive,positive,positive,positive,king football cristiano ronaldo
UgxMVYmUpYs-8IyynsF4AaABAg,@CraytonIngram-b1d,Football,Best Team in the Nation?! Mahomes just invested in them 🤯 #shorts,Quarterback Plug,Dumb there good,neutral,positive,neutral,neutral,dumb good
UgxVrOyWJJ8KfQSht-N4AaABAg,@davidkeating988,Football,I Survived 24 Hours With a Pro Football Player,Browney,Kobbie mainoo next please,neutral,neutral,neutral,neutral,kobbie mainoo next please
UgwqP00Jzm4mcWaK7Ml4AaABAg,@SevinchToshboltayeva-q2i,Football,UZBEKISTAN vs SPAIN #uzbekistan #spain #football #soccer #futbol #футбол #footbāl #olympics,Footy Flash02,Baribir Uzbekistan zör❤❤,positive,positive,positive,positive,baribir uzbekistan zör
Ugxe6JAOh0Z3tSsBmYJ4AaABAg,@zineboulhaj9801,Football,France Time Wasting vs. Morocco 🫡 #football,Ball 90 Shorts,Le maroc ❤🎉🎉 bien,positive,positive,positive,positive,le maroc bien
Ugzy6DO6tURzvM6jeQt4AaABAg,@ogulcangurses,Football,Carolina Panthers vs. Arizona Cardinals | 2026 Hall of Fame Game Highlights,NFL,Really miss that feeling,negative,negative,negative,negative,really miss feeling
Ugy5syCMdyjY2nymlgp4AaABAg,@SangayChoden-x6n,Football,SPAIN 1-0 ARGENTINA | FIFA WORLD CUP 2026 FINAL | FULL LIVE,BOBOLA TV,It's right now,neutral,neutral,neutral,neutral,right
Ugx84vywSD8gsVTdy4V4AaABAg,@Jr-JaceArdon-m2n,Football,Scariest Moments In Football,Ninety,WOOO SPAIN WOOOOO WOWEEEW,positive,positive,positive,positive,wooo spain wooooo woweeew
Ugy7r7HtNxQhSayiY2d4AaABAg,@thamananm3159,Football,Chelsea 0-1 Juventus | HIGHLIGHTS | Pre-Season 2026/27,Chelsea Football Club,Jackson has to stay! Quenda looks good. Jazuli and Sapaev look good.,positive,positive,positive,positive,jackson stay quenda looks good jazuli sapaev look good
UgzQIjsg0LrKUk0SNBJ4AaABAg,@XimenaJuárezvazquez-h5p,Football,Unbelievable Moments In Football | Al Nassr VS Inter Miami Imaginary Final | #ronaldo vs #messi,CrossBar Editz,Nunca pasó,negative,negative,negative,negative,nunca pasó
UgwKfwu0WhvTWpf2OEh4AaABAg,@fgluon6372,Football,"Ronaldo, Messi, Neymar, Mbappe Shocked the World in Their Final Match",ArtSoccer,what a game!,positive,positive,positive,positive,game
Ugy0-4pOM_eCbnf-eUl4AaABAg,@2339091q,Football,Football Goals But The Distance KEEPS Increasing,Ninety,5:20 The failed hand.,neutral,neutral,neutral,neutral,5 20 failed hand
UgyidMpRrPFpVm7oUvt4AaABAg,@SergiuDobie,Football,INSANE WORLD CUP FC26 CARD BATTLE!!,The Wingrove Family,Bade,neutral,neutral,neutral,neutral,bade
UgwGPNx82FtR484Y37F4AaABAg,@duykhanhle8379,Football,Best Football Skills 2026,SportsHD,Where ronaldo 😂,negative,neutral,negative,negative,ronaldo
UgyjnXL6OwDJ8SHtL8p4AaABAg,@akadoshirani-i1n,Football,Brazil Showed Why They’re Football Giants 🔥🇧🇷,ALE,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷⚽❤❤,positive,positive,positive,positive,
UgwAP6JzorlnChjcs5p4AaABAg,@C4azDfvd,Football,Zidane Reacts Ronaldo Stepover Skills 🤯,Hoanftbl,🎉🎉 ronaldo and messi are both goats but if i had to chooe 1 it will be pele😂😂,positive,positive,positive,positive,ronaldo messi goats chooe 1 pele
Ugwc84lANsvnJv7NN1N4AaABAg,@mariarodriguezreyes9878,Football,Neymar Destroying Great Players ☠️,HEcompsHD,Neymar   quiero  aserco  motu  mellamoiker,neutral,neutral,positive,neutral,neymar quiero aserco motu mellamoiker
UgxG1LpI5Ym-bntrUk94AaABAg,@HoloBobo,Football,1 in a Billion Football Moments,Sir Alex,crazy guys,positive,positive,positive,positive,crazy guys
UgwoYhqWudm2LzqS0Ip4AaABAg,@jowhanespitia08,Football,Most Inside Inside Foot Volleys In Football #football #shorts #volley,OG_Clips,Juventus the best 😢,positive,positive,positive,positive,juventus best
Ugw5zEK9tST321hU-eB4AaABAg,@maxg.8039,Football,45 Minutes of The Most Cinematic Moments in Football History,FOOT DAILY,Too many Messi moments for me...,negative,negative,negative,negative,many messi moments
UgzaUmMIYuIDfKA_67x4AaABAg,@jsrinivas20,Football,Best UCL comebacks 🔥😈💀🥶 #football #footballshorts #shorts,SJ10HD Editz TM,Bro how is that first one that is impossible,negative,negative,negative,negative,bro first one impossible
UgxmpVJBL1PM9ICyU5d4AaABAg,@ortho_211,Football,99% IMPOSSIBLE Comeback moments in football,Ninety,No ronalo it is out😂😂😂,negative,negative,negative,negative,ronalo
UgygJRXQibWyeCW-3IZ4AaABAg,@kimberlyshea28,Football,Football Kids On Another Level,Chuff Footy Reacts,Bro little naymar,neutral,neutral,positive,neutral,bro little naymar
UgyDMQ74DJ4GhQzxJ094AaABAg,@رشيدمالكي-ز8ف,Football,Most Humiliating Goals in Football History,Ninety,لااله الا الله ❤❤❤❤لااله الا الله محمد رسول الله  حسبنا الله ونعم الوكيل,positive,positive,positive,positive,لااله الا الله لااله الا الله محمد رسول الله حسبنا الله ونعم الوكيل
UgyTCKTlUtwoXjxCpdp4AaABAg,@SaqlainAli-u4q,Football,Messi's reaction to Ronaldo's goal ☠️ #cristiano #football #messi #ronaldo #cr7 #edit #trending,FOAR7,Ronaldo ki Jay ho❤❤❤❤,positive,positive,positive,positive,ronaldo ki jay ho
UgygcBMkvCFWZUJ93MJ4AaABAg,@FUTFan17-r7j,Football,Celebrities Playing Football,Chuff Footy Reacts,12:42 Tom Brady only owns 3 percent of Birmingham City,neutral,neutral,neutral,neutral,12 42 tom brady owns 3 percent birmingham city
UgxHqVIPy-qTrwHN5jZ4AaABAg,@MdDulal-k9k1w,Football,Brazil vs Argentina 2025 🔥☠ #shorts #football #fyp #trending,Football X Edit,I LOVE You ARGENTINA❤❤❤❤❤❤❤❤❤❤❤,positive,positive,positive,positive,love argentina
UgxDJRXFfVXkv9JYgAJ4AaABAg,@SanazYousefi-qv5vi,Football,I Tested BANNED Football Products!,Chuffsters,"Chuff fan 
👇",neutral,neutral,positive,neutral,chuff fan
UgxIdChvp4BXqosA4054AaABAg,@ЭркайымЮсупова,Football,Women VS Men's Dribbling 💀,Primeftbl,😮😮😮😮,neutral,positive,positive,positive,
UgwjP9rAQEGNzISjYUh4AaABAg,@AsfiyaKazi-n3x,Football,First Champions League player that comes to mind? 🤔,UEFA,Yamal,neutral,neutral,neutral,neutral,yamal
Ugxj14TgiiB1HKX8THZ4AaABAg,@Omar-d3b3s,Football,Football Players Jumping Records + Basketball ⚽️🏀,Skiller 90,bro the last one is edited gng yall are so gullible amd childish,negative,negative,negative,negative,bro last one edited gng yall gullible amd childish
UgwthW98vcJhq7eHZ5h4AaABAg,@SamsungAccaunt-o2j,Football,The Real King.👑 #football #shorts,WTFootball,Barca,neutral,neutral,neutral,neutral,barca
Ugzb8AOBYm_KrKAYHxF4AaABAg,@SPgaming-r5h,Football,Best Team in the Nation?! Mahomes just invested in them 🤯 #shorts,Quarterback Plug,Bixby can beat them,neutral,negative,neutral,neutral,bixby beat
Ugxiem51Fepl8LQNu254AaABAg,@budigoal6391,Football,I Survived 24 Hours With a Pro Football Player,Browney,Brian❤❤,positive,positive,positive,positive,brian
Ugw2L8idNek_iF0YJH14AaABAg,@FeruzaChamanova-z6z,Football,UZBEKISTAN vs SPAIN #uzbekistan #spain #football #soccer #futbol #футбол #footbāl #olympics,Footy Flash02,hech qachon oʻynamaganku😂😂,negative,neutral,neutral,neutral,hech qachon oʻynamaganku
UgyVTXDe_ZJyrRW7Q094AaABAg,@ElHuesitos,Football,France Time Wasting vs. Morocco 🫡 #football,Ball 90 Shorts,Mora,neutral,neutral,neutral,neutral,mora
Ugzorq9Xt5YLv-krrYJ4AaABAg,@POTSsucks,Football,Carolina Panthers vs. Arizona Cardinals | 2026 Hall of Fame Game Highlights,NFL,I don't need to see more of Haynes King. I watch college ball. He's the best quarterback on Carolina's roster.,positive,positive,positive,positive,need see haynes king watch college ball best quarterback carolina roster
UgzJTDniYoOKI9-3sEB4AaABAg,@CarlosQuispe-j2l,Football,SPAIN 1-0 ARGENTINA | FIFA WORLD CUP 2026 FINAL | FULL LIVE,BOBOLA TV,España es traposo,negative,negative,negative,negative,españa es traposo
UgzKu7zO7-oPeaXrZPZ4AaABAg,@Avatottenham27,Football,Scariest Moments In Football,Ninety,Never trust an agrentina center back Cristian romero 8:29,negative,negative,negative,negative,never trust agrentina center back cristian romero 8 29
UgwAYR2xG4IiBPCmh5Z4AaABAg,@jjsmith3753,Football,Chelsea 0-1 Juventus | HIGHLIGHTS | Pre-Season 2026/27,Chelsea Football Club,Dident know Cameroon was playing,negative,negative,negative,negative,dident know cameroon playing
UgyUs9ag44scXZYqffJ4AaABAg,@XimenaJuárezvazquez-h5p,Football,Unbelievable Moments In Football | Al Nassr VS Inter Miami Imaginary Final | #ronaldo vs #messi,CrossBar Editz,Nunca va a pasar nunca,negative,negative,negative,negative,nunca va pasar nunca
Ugz8mizCFE5X2CWjF3V4AaABAg,@Цыган-62,Football,"Ronaldo, Messi, Neymar, Mbappe Shocked the World in Their Final Match",ArtSoccer,"Чё за усатый индус в воротах?
😂😂😂😂😂😂😂",negative,negative,negative,negative,чё за усатый индус в воротах
UgyX7tX4mgvch-hORLF4AaABAg,@EmoFnafBonnie,Football,Football Goals But The Distance KEEPS Increasing,Ninety,0:18 Türk spiker,neutral,neutral,neutral,neutral,0 18 türk spiker
Ugz3NlCdbye0TR9bbZl4AaABAg,@peacedaniel2724,Football,INSANE WORLD CUP FC26 CARD BATTLE!!,The Wingrove Family,Please consider  puting me in a tordment,neutral,neutral,neutral,neutral,please consider puting tordment
Ugz9CQQzQcyXlK-g1fh4AaABAg,@GridironGoals-q4b,Football,Best Football Skills 2026,SportsHD,I like it when the goalie decides to show off their skills,positive,positive,positive,positive,like goalie decides show skills
Ugy2eplToPEz5LyfTR54AaABAg,@mdyeasin-d7w2q,Football,Brazil Showed Why They’re Football Giants 🔥🇧🇷,ALE,😘😘😘🤫🤫🫡🫡😏😎😇🥹🥹🥹,positive,positive,positive,positive,
